Squad,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,# Pl,Age,Poss,Ast,G-PK,PK,PKatt,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90,Notes,Country
Liverpool-18,30,7,1,89,22,67,97,73.6,30,43.6,1.15,23,26.1,61.7,55,79,7,7,2.26,1.45,3.71,2.08,3.53,68.3,47.7,116,1.94,1.25,3.19,1.8,3.05,European Spot,England
Manchester City-18,32,2,4,95,23,72,98,81.9,25.4,56.4,1.49,21,26.7,67.8,71,88,3,4,2.39,1.87,4.26,2.32,4.18,78.8,61.3,140.1,2.15,1.61,3.77,2.07,3.69,European Spot,England
Manchester Utd-18,19,9,10,65,54,11,66,59.6,47.9,11.7,0.31,28,26.3,54.5,40,56,9,12,1.71,1.05,2.76,1.47,2.53,50.4,38.2,88.6,1.57,1.01,2.57,1.33,2.33,European Spot,England
Newcastle Utd-18,12,9,17,42,48,-6,45,38.8,52.4,-13.7,-0.36,24,26.9,40.4,33,40,1,3,1.08,0.87,1.95,1.05,1.92,36.5,26.2,62.7,1.02,0.69,1.71,0.96,1.65,Neither,England
Southampton-18,9,12,17,45,65,-20,39,45.5,55,-9.5,-0.25,30,25.4,43.9,27,40,4,5,1.16,0.71,1.87,1.05,1.76,41.8,27.2,69,1.2,0.72,1.91,1.1,1.82,Neither,England
Tottenham-18,23,2,13,67,39,28,71,55.6,45.3,10.2,0.27,28,26.8,58.9,47,62,4,4,1.74,1.24,2.97,1.63,2.87,52.6,36.8,89.4,1.46,0.97,2.43,1.38,2.35,European Spot,England
Watford-18,14,8,16,52,59,-7,50,47.9,54.3,-6.3,-0.17,25,28.5,47.1,39,50,1,1,1.34,1.03,2.37,1.32,2.34,47.2,33.3,80.5,1.26,0.88,2.14,1.24,2.12,Neither,England
West Ham-18,15,7,16,52,55,-3,52,48.9,60.8,-11.9,-0.31,26,27.6,48.7,33,46,5,5,1.34,0.87,2.21,1.21,2.08,45.1,32.7,77.9,1.29,0.86,2.15,1.19,2.05,Neither,England
Wolves-18,16,9,13,47,46,1,57,49.9,38.7,11.2,0.3,21,26.1,46.9,35,42,4,4,1.21,0.92,2.13,1.11,2.03,46.9,34.8,81.7,1.31,0.92,2.23,1.23,2.15,European Spot,England
Arsenal-19,14,14,10,56,48,8,56,49.2,56.6,-7.3,-0.19,29,25.8,54,35,53,3,3,1.47,0.92,2.39,1.39,2.32,46.9,29.9,76.9,1.3,0.79,2.08,1.24,2.02,Neither,England
