Squad,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,# Pl,Age,Poss,Ast,G-PK,PK,PKatt,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90,Notes,Country
Sampdoria-19,12,6,20,48,65,-17,42,51.2,53.3,-2.2,-0.06,31,26,42.4,25,39,9,12,1.26,0.66,1.92,1.03,1.68,42,30.2,72.3,1.35,0.8,2.14,1.11,1.9,Neither,Italy
Sassuolo-19,14,9,15,69,63,6,51,56,63.8,-7.8,-0.21,31,26.4,57.8,49,64,5,6,1.82,1.29,3.11,1.68,2.97,51.4,39.4,90.8,1.47,1.04,2.51,1.35,2.39,European Spot,Italy
SPAL-19,5,5,28,27,77,-50,20,39.1,67.5,-28.3,-0.75,34,27.5,46.8,17,22,5,7,0.71,0.45,1.16,0.58,1.03,33.8,23.1,56.9,1.03,0.61,1.64,0.89,1.5,Relegation Spot,Italy
Torino-19,11,7,20,46,68,-22,40,42.4,62.8,-20.4,-0.54,27,27.3,47.5,29,37,7,8,1.16,0.76,1.92,0.97,1.74,37.1,26.6,63.7,1.12,0.7,1.82,0.98,1.68,Neither,Italy
Udinese-19,12,9,17,37,51,-14,45,40.6,51.7,-11.1,-0.29,25,26.5,44.7,26,37,0,0,0.97,0.68,1.66,0.97,1.66,40.6,30.5,71.1,1.07,0.8,1.87,1.07,1.87,Neither,Italy
AlavÃ©s-17,15,2,21,40,50,-10,47,38.8,53.2,-14.4,-0.38,30,25.5,40.3,32,39,1,3,1.05,0.84,1.89,1.03,1.87,36.6,26,62.5,1.02,0.68,1.7,0.96,1.64,Neither,Spain
Athletic Club-17,10,13,15,41,49,-8,43,45.6,47.4,-1.8,-0.05,27,26.7,49.6,24,33,6,8,1.03,0.63,1.66,0.87,1.5,39.8,30,69.8,1.2,0.79,1.99,1.05,1.84,Neither,Spain
AtlÃ©tico Madrid-17,23,10,5,58,22,36,79,47.8,37,10.8,0.28,26,26.6,47.7,40,53,4,5,1.5,1.05,2.55,1.39,2.45,44.2,32.6,76.7,1.26,0.86,2.12,1.16,2.02,European Spot,Spain
Barcelona-17,28,9,1,99,29,70,93,78.3,41.1,37.2,0.98,25,27.7,62.7,58,93,3,5,2.53,1.53,4.05,2.45,3.97,75.2,58.6,133.8,2.06,1.54,3.6,1.98,3.52,European Spot,Spain
Betis-17,18,6,14,60,61,-1,60,41.1,50.6,-9.5,-0.25,29,27.1,57.1,38,54,2,3,1.47,1,2.47,1.42,2.42,39.1,31.3,70.4,1.08,0.82,1.91,1.03,1.85,European Spot,Spain
Celta Vigo-17,13,10,15,59,60,-1,49,52,51.6,0.4,0.01,22,25.7,55.6,41,55,2,3,1.5,1.08,2.58,1.45,2.53,49.7,36,85.7,1.37,0.95,2.32,1.31,2.26,Neither,Spain
Eibar-17,14,9,15,44,50,-6,51,39.9,44.3,-4.4,-0.12,26,27.4,52.1,33,41,2,3,1.13,0.87,2,1.08,1.95,37.6,25.4,63,1.05,0.67,1.72,0.99,1.66,Neither,Spain
Espanyol-17,12,13,13,36,42,-6,49,42.9,47.6,-4.8,-0.13,25,26.8,47.1,25,31,2,3,0.87,0.66,1.53,0.82,1.47,40.5,28.5,69,1.13,0.75,1.88,1.07,1.81,Neither,Spain
Getafe-17,15,10,13,42,33,9,55,46.4,36.8,9.6,0.25,32,28.2,40.3,24,36,5,12,1.08,0.63,1.71,0.95,1.58,37.1,26,63.1,1.22,0.68,1.9,0.98,1.66,Neither,Spain
Girona-17,14,9,15,50,59,-9,51,48.9,46.8,2,0.05,25,26.3,46.6,24,44,6,8,1.32,0.63,1.95,1.16,1.79,42.8,30.9,73.7,1.29,0.81,2.1,1.13,1.94,Neither,Spain
La CoruÃ±a-17,6,11,21,38,76,-38,29,49.2,57.8,-8.6,-0.23,32,28.2,46.4,32,35,3,5,1,0.84,1.84,0.92,1.76,45.4,34.3,79.7,1.3,0.9,2.2,1.2,2.1,Relegation Spot,Spain
Las Palmas-17,5,7,26,24,74,-50,22,38,65.2,-27.3,-0.72,36,27,54.3,21,18,6,8,0.63,0.55,1.18,0.47,1.03,31.9,23.6,55.6,1,0.62,1.62,0.84,1.46,Relegation Spot,Spain
LeganÃ©s-17,12,7,19,34,51,-17,43,40,46.7,-6.7,-0.18,28,27.8,43.1,19,30,2,3,0.84,0.5,1.34,0.79,1.29,37.7,28.2,66,1.05,0.74,1.8,0.99,1.74,Neither,Spain
Levante-17,11,13,14,44,58,-14,46,42.4,60.6,-18.2,-0.48,33,25.7,42.8,29,38,5,5,1.13,0.76,1.89,1,1.76,38.6,29,67.6,1.12,0.76,1.88,1.02,1.78,Neither,Spain
MÃ¡laga-17,5,5,28,24,61,-37,20,33.4,52.7,-19.3,-0.51,36,27.2,44.2,17,19,4,6,0.61,0.45,1.05,0.5,0.95,28.8,21.1,50,0.88,0.56,1.43,0.76,1.31,Relegation Spot,Spain
Real Madrid-17,22,10,6,94,44,50,76,83.3,45.3,38,1,24,27.1,60.3,63,83,8,10,2.39,1.66,4.05,2.18,3.84,75.6,59.4,135,2.19,1.56,3.76,1.99,3.55,European Spot,Spain
Real Sociedad-17,14,7,17,66,59,7,49,55,47.2,7.8,0.21,27,25.9,56.4,48,60,4,5,1.68,1.26,2.95,1.58,2.84,51.2,38.6,89.8,1.45,1.02,2.46,1.35,2.36,Neither,Spain
Sevilla-17,17,7,14,49,58,-9,58,56.5,55.3,1.3,0.03,31,27.1,54.3,36,44,4,5,1.26,0.95,2.21,1.16,2.11,52.8,39.8,92.6,1.49,1.05,2.54,1.39,2.44,European Spot,Spain
Valencia-17,22,7,9,65,38,27,73,56,44.8,11.2,0.29,25,24.8,48.4,43,55,8,8,1.66,1.13,2.79,1.45,2.58,49.9,38.4,88.3,1.47,1.01,2.48,1.31,2.32,European Spot,Spain
Villarreal-17,18,7,13,57,50,7,61,52.2,55.4,-3.2,-0.09,32,26.6,50.5,39,52,4,5,1.47,1.03,2.5,1.37,2.39,48.4,38.6,87,1.37,1.02,2.39,1.27,2.29,European Spot,Spain
AlavÃ©s-18,13,11,14,39,50,-11,50,37.3,51,-13.7,-0.36,26,26.7,42.7,27,37,2,3,1.03,0.71,1.74,0.97,1.68,35,23.9,58.9,0.98,0.63,1.61,0.92,1.55,Neither,Spain
Athletic Club-18,13,14,11,41,45,-4,53,40.2,43.8,-3.6,-0.09,27,27.6,50.1,26,33,5,7,1,0.68,1.68,0.87,1.55,34.8,25.2,60,1.06,0.66,1.72,0.92,1.58,Neither,Spain
AtlÃ©tico Madrid-18,22,10,6,55,29,26,76,46,38.7,7.3,0.19,29,26.4,49.4,36,49,3,4,1.37,0.95,2.32,1.29,2.24,42.9,31.3,74.3,1.21,0.82,2.04,1.13,1.95,European Spot,Spain
Barcelona-18,26,9,3,90,36,54,87,73.8,40.5,33.3,0.88,30,27.7,64.2,61,80,8,9,2.32,1.61,3.92,2.11,3.71,67,53.7,120.7,1.94,1.41,3.36,1.76,3.18,European Spot,Spain
Betis-18,14,8,16,44,52,-8,50,48.8,47.1,1.7,0.04,25,26.7,61.7,30,38,5,7,1.13,0.79,1.92,1,1.79,43.5,33.4,76.8,1.28,0.88,2.16,1.14,2.02,Neither,Spain
Celta Vigo-18,10,11,17,53,62,-9,41,44.8,59.9,-15,-0.4,28,25.5,51.7,37,45,7,7,1.37,0.97,2.34,1.18,2.16,39.7,29.9,69.6,1.18,0.79,1.97,1.04,1.83,Neither,Spain
Eibar-18,11,14,13,46,50,-4,47,50.7,45.1,5.7,0.15,25,28.5,54.1,26,39,7,8,1.21,0.68,1.89,1.03,1.71,44.8,31.7,76.5,1.34,0.83,2.17,1.18,2.01,Neither,Spain
Espanyol-18,14,11,13,48,50,-2,53,48.8,50.8,-2,-0.05,25,27.7,49.5,26,40,4,4,1.16,0.68,1.84,1.05,1.74,45.8,32.6,78.4,1.28,0.86,2.14,1.2,2.06,European Spot,Spain
Getafe-18,15,14,9,48,35,13,59,44.7,40.7,4,0.11,26,27.5,40.8,34,41,6,6,1.24,0.89,2.13,1.08,1.97,40.2,29,69.2,1.18,0.76,1.94,1.06,1.82,European Spot,Spain
Girona-18,9,10,19,37,53,-16,37,38.6,50.5,-11.9,-0.31,26,26.6,48,23,31,6,6,0.97,0.61,1.58,0.82,1.42,34.5,25.1,59.6,1.01,0.66,1.67,0.91,1.57,Relegation Spot,Spain
Huesca-18,7,12,19,43,65,-22,33,45.9,57,-11.1,-0.29,30,26.7,44.7,28,37,6,7,1.13,0.74,1.87,0.97,1.71,40.6,26.2,66.9,1.21,0.69,1.9,1.07,1.76,Relegation Spot,Spain
LeganÃ©s-18,11,12,15,37,43,-6,45,37.4,40,-2.6,-0.07,29,26.6,42.8,25,33,3,5,0.95,0.66,1.61,0.87,1.53,33.8,24.5,58.3,0.99,0.64,1.63,0.89,1.53,Neither,Spain
Levante-18,11,11,16,59,66,-7,44,49.9,67.9,-17.9,-0.47,26,26.3,45.6,39,51,5,7,1.47,1.03,2.5,1.34,2.37,44.5,35.1,79.6,1.31,0.92,2.24,1.17,2.1,Neither,Spain
Rayo Vallecano-18,8,8,22,41,70,-29,32,40.8,54.6,-13.8,-0.36,29,26.6,48.7,24,35,5,5,1.05,0.63,1.68,0.92,1.55,37,26.2,63.2,1.07,0.69,1.76,0.97,1.66,Relegation Spot,Spain
Real Madrid-18,21,5,12,63,46,17,68,61.4,45.6,15.7,0.41,27,27.1,60,39,52,9,9,1.61,1.03,2.63,1.37,2.39,54.8,42.9,97.7,1.62,1.13,2.74,1.44,2.57,European Spot,Spain
Real Sociedad-18,13,11,14,45,46,-1,50,46.5,43.8,2.7,0.07,30,24.9,51.6,27,36,8,10,1.16,0.71,1.87,0.95,1.66,39.3,29.2,68.5,1.22,0.77,1.99,1.03,1.8,Neither,Spain
Sevilla-18,17,8,13,62,47,15,59,63.5,44.1,19.4,0.51,27,27.9,52.2,47,56,5,6,1.61,1.24,2.84,1.47,2.71,58.8,43.7,102.5,1.67,1.15,2.82,1.55,2.7,European Spot,Spain
Valencia-18,15,16,7,51,35,16,61,57.3,40.4,16.9,0.45,25,26.4,47.1,38,45,5,7,1.32,1,2.32,1.18,2.18,52,42.9,94.9,1.51,1.13,2.64,1.37,2.5,European Spot,Spain
Valladolid-18,10,11,17,32,51,-19,41,40.5,52.9,-12.5,-0.33,28,27.4,47,19,27,4,7,0.82,0.5,1.32,0.71,1.21,35.1,26.1,61.3,1.06,0.69,1.75,0.92,1.61,Neither,Spain
Villarreal-18,10,14,14,49,52,-3,44,50.7,53.4,-2.7,-0.07,26,27.1,48.3,34,44,3,6,1.24,0.89,2.13,1.16,2.05,46.6,35.8,82.4,1.33,0.94,2.28,1.23,2.17,Neither,Spain
